Canton,MSE,IS_95
Alajuela,2.2990118233812114,4.263242637408198
Alajuelita,1.4609555545056732,19.951480073175205
Atenas,14.808933537871408,11.77186812095833
Cañas,32.59388713982142,27.581129548400465
Carrillo,21.77440286667968,17.9120767973384
Corredores,125.77457957037058,204.29826945045946
Desamparados,1.0935093080459437,10.692224364660662
Esparza,36.65090772743333,40.32107583831308
Garabito,24.780935570386454,12.605225627910357
Golfito,65.33938700824797,129.36595303997646
Guacimo,18.654811919877027,13.437397318751778
La Cruz,95.50825010428116,28.43749274999997
Liberia,54.45860062460936,93.99798366730495
Limon,5.913538048176301,14.639596060637302
Matina,126.68569988949679,129.2864126063245
Montes de Oro,71.89900620283345,33.70680989961264
Nicoya,15.722680149543425,22.783211217218025
Orotina,191.05717415659265,139.2418803306603
Osa,98.49863930899485,266.99157710386487
Parrita,20.788468011920404,16.242893233576996
Perez Zeledón,13.761198740540038,64.68664675767161
Pococí,4.136726588893958,3.596972144408703
Puntarenas,12.873063674058184,14.297615453319349
Quepos,31.154011529088425,21.932441550838238
San Jose,3.2506013739403965,29.782230201487508
Santa Ana,3.9672534755595175,22.619833244643367
SantaCruz,90.9349587601245,81.5395441210251
Sarapiquí,180.37806643916628,26.586995987344118
Siquirres,9.903639873301978,12.750383489486758
Talamanca,12.701581536335757,17.81798205385572
Turrialba,107.97946868356499,34.82005876815807
Upala,6.0465546702400115,24.12807592030503
