Canton,MSE,IS_95
Alajuela,168.49689594163974,16.536497523659353
Alajuelita,60.48845413891246,25.12324154070566
Atenas,999.7839438901241,27.25763940707389
Cañas,4163.668546506057,32.13389450530706
Carrillo,1189.968466070338,21.14902545520451
Corredores,1148.539608736495,28.103809420393244
Desamparados,52.09817445158995,22.21394058515007
Esparza,1325.367845622331,22.559614306334815
Garabito,16910.311943275377,30.908068352205092
Golfito,779.0914633803645,25.040112228062846
Guacimo,431.0279383189178,17.334709915825865
La Cruz,1270.3747895016927,29.15118264611551
Liberia,735.9565483418351,24.557153776688224
Limon,665.6097997906348,20.52672974269018
Matina,978.1545652722219,19.60534916061107
Montes de Oro,1649.2858863453685,27.972136002334082
Nicoya,609.997633197589,22.820544252840556
Orotina,6246.808789429452,30.229195970928807
Osa,1125.3433155495866,32.063534405191014
Parrita,3532.888673613702,17.30465208570357
Perez Zeledón,265.4329410231373,27.261645393110985
Pococí,451.6527891279948,15.25990150737989
Puntarenas,365.200570979681,16.243310751564863
Quepos,13324.874964378094,37.90523835882811
San Jose,43.533856679903295,14.937873910402947
Santa Ana,180.66582583250238,26.85039870251228
SantaCruz,12710.213039556724,42.21700861460033
Sarapiquí,1635.3369900738448,24.954672855163693
Siquirres,413.53704056978165,15.641309294822554
Talamanca,749.4413422663398,23.032868417225675
Turrialba,210.58503455222782,28.44705231734755
Upala,261.73794336810437,22.827069789614477
