Canton,MSE,IS_95
Alajuela,157.65971500777397,13.578183862832935
Alajuelita,60.14431772428929,21.783930718463772
Atenas,1012.9369742263887,24.15143698882469
Cañas,4069.9709441242017,26.099494034068897
Carrillo,1179.4818154061302,17.760578730756095
Corredores,1089.00955152271,24.60757015640936
Desamparados,50.81044795176102,19.152832672827348
Esparza,1699.4755985742652,18.43445931051354
Garabito,17673.246290511735,29.768047811205925
Golfito,764.2066916697985,21.745487477191276
Guacimo,407.3711417981069,14.149315423852087
La Cruz,1183.5404049406325,24.606905833874464
Liberia,740.6194239038152,21.56501165321596
Limon,639.4650502022885,17.625534584148983
Matina,1088.7144458570308,17.547785805282714
Montes de Oro,1645.403850814901,23.52278330566128
Nicoya,564.5474061369666,18.136885357867243
Orotina,4504.481749586972,20.242946608741253
Osa,1128.41112473487,28.95381749296866
Parrita,3581.3901619757607,16.245832248609315
Perez Zeledón,259.52560639539007,24.209001163716934
Pococí,513.4127809546252,13.213781707850343
Puntarenas,355.51244833648394,13.138901341295368
Quepos,12256.738150171417,34.77024519363705
San Jose,42.382681297576745,11.919168130026717
Santa Ana,178.893728745545,23.470843317083546
SantaCruz,12504.630428942803,38.98918682813109
Sarapiquí,1510.8787660975138,20.863618306684142
Siquirres,392.6392464377009,13.318344995959258
Talamanca,698.3437852793037,19.090113810837046
Turrialba,187.47717934570971,22.290540388430387
Upala,258.9459279570931,20.946976813182044
