Canton,MSE,IS_95
Alajuela,170.28901612991848,18.000787427803623
Alajuelita,63.986625938522764,27.076093666018664
Atenas,1070.9905542078393,30.226241131475657
Cañas,2365.2261121104657,31.386230419109545
Carrillo,918.6935737617985,19.654908765880677
Corredores,1187.1519567625471,30.413879719223257
Desamparados,50.73862780922387,22.78128221397992
Esparza,1036.0121564780156,22.829821313285223
Garabito,4943.474541158901,28.237501914454697
Golfito,819.2263770749092,27.456752278008455
Guacimo,434.49585013420244,18.48487865182775
La Cruz,1223.4657213421845,29.953763472421535
Liberia,749.6420877741082,25.87291427462371
Limon,664.4270973993704,20.918688988471473
Matina,867.2763996791425,20.925113701762257
Montes de Oro,1457.7440990839489,29.915412689819025
Nicoya,635.8120542343157,25.41479535649391
Orotina,4807.100138559041,29.87133711060419
Osa,1228.6257146212686,36.7439943370641
Parrita,13900851599.301107,6357.31519515886
Perez Zeledón,285.84476703448894,30.906840975324542
Pococí,517.4980324528776,17.325961451130617
Puntarenas,371.0942751320236,17.637509835789835
Quepos,8792.444297774304,37.576250586334545
San Jose,41.43907613249172,15.1182614185115
Santa Ana,174.34467896598983,26.794054951238998
SantaCruz,5870.814558541376,39.35190046260332
Sarapiquí,1453.2608976684635,26.405071433032113
Siquirres,404.42424646568554,16.490654522495184
Talamanca,757.7576058654331,23.5677393046236
Turrialba,227.13865618972886,30.975809011864442
Upala,265.72750610051554,23.175117043463064
