Canton,MSE,IS_95
Alajuela,2.277325399655733,3.7784502252575325
Alajuelita,1.5904746832506373,20.10649844850685
Atenas,19.21087661968569,13.390075848335954
Cañas,33.754382058548494,25.789241627508257
Carrillo,26.05323171528243,19.17048399250655
Corredores,64.48866271692938,140.47676226529836
Desamparados,1.0127971606860933,9.806554376416626
Esparza,30.69092724919852,32.684328375920614
Garabito,21.294187467352216,12.056657073294147
Golfito,46.457446516659815,103.26490325536503
Guacimo,14.727671320417343,9.630641712180163
La Cruz,93.68649885499828,27.13469354498085
Liberia,49.735950596506804,83.87454541506726
Limon,5.815841916196412,12.633049292175757
Matina,107.1475899686147,112.06707919212673
Montes de Oro,64.64646280475111,29.85980646293439
Nicoya,20.39758746198189,25.315577397232335
Orotina,139.36037795085738,109.35080103292242
Osa,53.132889762298284,188.44877440555157
Parrita,17.81600699300708,15.747033158336295
Perez Zeledón,12.941375200740401,58.35115546511341
Pococí,6.606292531773216,5.942740912957822
Puntarenas,7.11102079478924,7.448308390313042
Quepos,21.293812917039947,16.806999504748568
San Jose,3.9028245814724496,32.11763221552168
Santa Ana,4.3638249940933145,22.143189223294282
SantaCruz,95.26357760614302,77.48417344413697
Sarapiquí,604.8680404794127,36.55250958118289
Siquirres,9.190027746771595,11.120742294885927
Talamanca,11.670187759579282,15.6473000596592
Turrialba,109.43178986396768,36.11778623622175
Upala,4.586241018003067,18.420355129577466
