Canton,MSE,IS_95
Alajuela,173.3848355428582,18.621144534958507
Alajuelita,63.46033859999634,27.190481427908605
Atenas,1065.5412644429077,31.44220060269139
Cañas,2800.419924636452,37.48233433293056
Carrillo,1000.5906877570428,21.850104799776307
Corredores,1280.414979918413,32.9480771099161
Desamparados,50.90819205922435,23.896652095558707
Esparza,951.1137214797042,21.174959409517403
Garabito,6005.136896642882,33.61879656023475
Golfito,829.0423070262495,27.067619303469908
Guacimo,444.64046664341197,20.15734033268869
La Cruz,1327.8409142795979,34.50059888877299
Liberia,807.7404192259513,28.582357257762546
Limon,734.1391923663294,22.379841381560407
Matina,914.7442057642667,22.003409814609558
Montes de Oro,1211.9664057946231,25.84538180439578
Nicoya,606.8134159333479,25.04062030452494
Orotina,2424.1231589627705,21.30905743497904
Osa,1233.6871199605193,36.853697149004525
Parrita,3768902190.8606935,3415.008798191121
Perez Zeledón,292.6950307254624,31.714056109939143
Pococí,524.8344237494354,17.237539756178116
Puntarenas,361.6412068411703,17.638367056572918
Quepos,8097.169787721968,41.55242555981344
San Jose,42.1047530070839,16.628806841798315
Santa Ana,175.28293004392287,27.098320992108803
SantaCruz,4895.998310982043,37.72062074811123
Sarapiquí,1571.6044362547002,28.181467102001484
Siquirres,422.5898485015951,18.347990199182764
Talamanca,777.9723028536007,23.985597060230468
Turrialba,209.83886736704832,30.18142254113161
Upala,268.53307054193283,24.90842741037892
