Canton,MSE,IS_95
Alajuela,3.1546891596609568,5.149859607847466
Alajuelita,1.321659662501214,19.26295666534697
Atenas,16.359455007627034,13.819644108623613
Cañas,38.03641837033562,31.41905000159359
Carrillo,20.108476610676014,17.82835883637013
Corredores,142.26080249470618,227.53229550104186
Desamparados,1.1383677959004188,11.761324281179913
Esparza,26.862065545529415,34.11354628934556
Garabito,27.93792273603019,18.8184786439784
Golfito,67.1703471808548,130.66760255302523
Guacimo,16.17989435243303,12.247124535477845
La Cruz,99.68848026962598,29.62036135377823
Liberia,51.17761012247421,104.32643496966418
Limon,9.349314407624158,19.557670229571357
Matina,124.57658316989912,134.4478487097581
Montes de Oro,41.70462839781127,25.344162636312593
Nicoya,13.730003701204648,21.99504293236818
Orotina,118.96704150663294,116.19794785196949
Osa,104.39030303274284,281.3794265012957
Parrita,14.260662719795715,16.99668434076244
Perez Zeledón,12.455171886883534,63.60934384425995
Pococí,6.681445220014785,6.3758077547411265
Puntarenas,8.854104437094186,10.87337424524386
Quepos,26.030468958123624,22.619602116787856
San Jose,3.652995906034777,33.68353505235432
Santa Ana,3.8862699789547093,22.245426920381828
SantaCruz,65.10952732980626,73.21093225995216
Sarapiquí,197.85115304840633,28.35608524856147
Siquirres,10.220832945200236,15.35759423821339
Talamanca,11.087929077827381,16.209651563660394
Turrialba,108.83867262691501,35.380707811827264
Upala,5.732902446275183,26.503761029164085
