Canton,MSE,IS_95
Alajuela,2.0212856653605558,2.947407559432964
Alajuelita,1.2601002683562625,13.69085493203297
Atenas,17.112942804776516,11.229534745805761
Cañas,62.441167166221746,31.349857675272034
Carrillo,19.981805061303216,12.89076440211167
Corredores,134.22842308631166,170.75633529615348
Desamparados,1.2159609979465245,8.529460100502646
Esparza,24.666695554720675,26.436440786708648
Garabito,38.186022144653094,15.098863751529318
Golfito,71.41106345870425,115.3114056443251
Guacimo,17.709532999866283,9.832867809632477
La Cruz,84.76420823240393,24.049745183064573
Liberia,68.717012080964,83.17111519591592
Limon,5.767120275263501,9.352964658421158
Matina,123.88105163997902,110.07766415230068
Montes de Oro,35.20499698230035,18.622082254258057
Nicoya,18.027772316288498,21.494654346316825
Orotina,112.43755411267732,87.46620714436709
Osa,97.65323452731825,221.74328485911855
Parrita,13.78032900936967,11.41141645745024
Perez Zeledón,14.074863385871238,54.54573979461522
Pococí,6.753884884327245,4.373187438881752
Puntarenas,7.144326977932488,5.878833550668301
Quepos,43.8980557430873,23.828325198864263
San Jose,3.3663776524176723,23.23749726271465
Santa Ana,3.251295974882157,15.851344639121974
SantaCruz,106.61907655176564,70.75815312314406
Sarapiquí,147.98038443268155,20.692593329060497
Siquirres,10.470558802049053,10.314622446547842
Talamanca,9.226425239856257,10.879102107468384
Turrialba,102.8283373494938,32.99379975544648
Upala,5.441089723096934,19.167446179468836
