Canton,MSE,IS_95
Alajuela,2.286125002030155,2.8471055835508317
Alajuelita,1.3796721355167676,15.107622421601876
Atenas,18.330971563318556,11.139840948826384
Cañas,54.38203887959085,27.621675852719065
Carrillo,22.32401636519269,13.460496191801282
Corredores,73.61502911777542,124.33934709197439
Desamparados,1.3059327611219342,9.336595941024738
Esparza,16.508820771041346,19.36554188213618
Garabito,21.570383558472646,10.766804010376836
Golfito,49.603895946152214,94.70682957681909
Guacimo,14.069859600423314,6.857495171064953
La Cruz,83.89989583577479,24.12058591039642
Liberia,50.11260467870506,70.73403272523393
Limon,5.804518418171377,8.841084179903026
Matina,94.2577631948036,91.90959787715198
Montes de Oro,42.13370498110343,20.075855511358352
Nicoya,20.6705030547958,22.856066181710517
Orotina,78.8357677283972,70.487071362679
Osa,52.737960766367,160.01630103371915
Parrita,16.256977448581505,12.585218919926149
Perez Zeledón,11.929236683866884,48.89646595833875
Pococí,7.654161546238558,5.7584810916839855
Puntarenas,4.436286750821954,2.3893334476720995
Quepos,24.970090730825106,16.389468555228003
San Jose,3.3114976265529745,21.88741318622332
Santa Ana,3.6925285619740507,16.788369199180877
SantaCruz,89.24699928122305,63.91453850700884
Sarapiquí,384.88624861612567,26.649897115433237
Siquirres,13.202608467369528,11.058142811855166
Talamanca,9.574019670008902,10.838630683474046
Turrialba,105.11912521367272,33.98444260669232
Upala,4.670858971300774,16.93393899894467
