Canton,MSE,IS_95
Alajuela,3.9723341553465388,5.614812673230274
Alajuelita,1.574729042243267,20.277458713602798
Atenas,23.348326324667433,15.814693958897557
Cañas,33.813527357619144,26.456256933126546
Carrillo,25.060302532990278,19.3938585531734
Corredores,69.61495024207342,153.2653124186092
Desamparados,1.0267831976692243,10.59149607981043
Esparza,16.31341637042309,22.70535159037086
Garabito,27.49124680105334,15.306642325434842
Golfito,42.853032466914904,99.85590678926874
Guacimo,12.58957644737778,8.424570052836167
La Cruz,95.72912698450978,27.45801417091446
Liberia,43.83795929152536,85.68303443437172
Limon,8.715002689428658,17.161194162625513
Matina,94.85369426024673,109.90093002936372
Montes de Oro,48.25211100349996,25.856300799888313
Nicoya,19.966213236517568,25.408585650765506
Orotina,100.30190631139928,94.41956253595436
Osa,58.23821132753934,197.43836653424992
Parrita,16.48575053665613,17.569853669987378
Perez Zeledón,12.590898146864145,57.89957902663132
Pococí,7.48780610539402,6.718769351490142
Puntarenas,5.194870754473259,5.214291170486536
Quepos,16.897450235070902,15.291701082802003
San Jose,4.355793415042142,34.42626877120729
Santa Ana,4.390771773341013,22.002656464542312
SantaCruz,72.29060643809451,67.2426555191855
Sarapiquí,533.862684899987,34.24752962080382
Siquirres,7.961802511702044,10.24201963798374
Talamanca,12.686864225711377,16.860844501471956
Turrialba,111.2475896821212,37.11058973463508
Upala,4.4952373519646445,19.021277035255228
