Canton,MSE,IS_95
Alajuela,0.12485434352819615,1.6417287132718539
Alajuelita,0.15451109050412398,2.0922430377776084
Atenas,0.9849526581659293,10.219896690791312
Cañas,1.448551875714899,6.812907904897117
Carrillo,1.2523514545721424,2.5944808747808863
Corredores,1.7090500587655921,1.9357960790495292
Desamparados,0.0424539722773148,3.0084540319288386
Esparza,0.5548174119332797,2.1747528197606676
Garabito,1.2772657503408422,12.952783429974286
Golfito,1.0497999837847747,8.56007672048848
Guacimo,6.189985854985039,4.862807086501985
La Cruz,1.5086724142300945,14.743854565893818
Liberia,1.7079277939158255,16.250722387649922
Limon,0.3102335773027501,1.7042315696120671
Matina,0.3696404544881488,3.0869438366560558
Montes de Oro,3.6318149258740613,19.513867698735226
Nicoya,0.5683042060327558,10.249722326424784
Orotina,1.4663072390682916,1.5221423396076674
Osa,1.7275221280484105,1.7890987829477343
Parrita,2.0318268211284933,7.970538409780526
Perez Zeledón,0.5348978899585545,1.39415563086348
Pococí,0.3851804031801463,1.8534273780545754
Puntarenas,0.493832682760174,1.7646444045967615
Quepos,3.5339977340451108,23.215308666733506
San Jose,0.04643806515447275,2.3247847643581503
Santa Ana,1.0728766557721914,15.485364359787013
SantaCruz,0.9081848950381721,3.063509723268539
Sarapiquí,0.3140228371571817,1.9942080417324566
Siquirres,1.069164460723554,1.7977058686050638
Talamanca,2.396704561278066,1.315184801392954
Turrialba,0.7841383980481244,1.8488836220397662
Upala,Inf,Inf
