Canton,MSE,IS_95
Alajuela,0.10310189526964081,1.7849354332996143
Alajuelita,0.17691878627949492,2.4743712369778015
Atenas,0.8115531850594961,9.04121091631295
Cañas,1.9832499676996111,8.833032841398222
Carrillo,1.1378563300907085,4.0013224427832315
Corredores,1.61421805315299,2.037460458167842
Desamparados,0.0843221064733692,3.4413820168069127
Esparza,0.5569096932657709,2.315101907503031
Garabito,0.7514379296428254,9.889464956144339
Golfito,1.0108573218996804,8.137927540224227
Guacimo,6.075697041948113,4.9554288927542824
La Cruz,2.974777877889043,25.73575864973436
Liberia,1.980305294014469,19.090208116766128
Limon,0.38727049144501974,1.6648364181331001
Matina,0.1664708657307804,2.9169045180507114
Montes de Oro,3.4529307276693064,17.975076731871237
Nicoya,0.9903283265542155,13.906435137119368
Orotina,1.1949896643552154,1.7580312900752482
Osa,1.6119808775576296,2.0422810259713358
Parrita,2.1212386492693387,9.00321392253874
Perez Zeledón,0.44103531972601717,1.5961919053481946
Pococí,0.380487670335793,1.891324390479197
Puntarenas,0.5259484577375935,1.7696365850312468
Quepos,2.7790548885110655,17.6283219934193
San Jose,0.06468030510974931,2.5632535322838046
Santa Ana,1.0562283495797333,14.901053563567006
SantaCruz,1.162253572862088,3.931409951390629
Sarapiquí,0.29106957770804215,2.0545481628796027
Siquirres,1.0775872670752913,1.970032067795556
Talamanca,1.5612959612406498,1.4499901440062593
Turrialba,0.832316686486395,1.9513220762378827
Upala,Inf,Inf
