Canton,MSE,IS_95
Alajuela,0.22491084242071327,1.090453427045529
Alajuelita,1.3545362133327736,22.81351925538277
Atenas,15.435873161440398,87.6172601322166
Cañas,17.64088183210571,60.78003541177512
Carrillo,2.9579966978653047,13.204056662894192
Corredores,5.04726580057423,17.011487590235674
Desamparados,0.08448526870173438,3.097772548034347
Esparza,3.56964866337862,16.129124764617476
Garabito,86.54253827171515,232.78070710754966
Golfito,6.023391584894305,35.773583754017324
Guacimo,9.212628374467151,18.180472507747847
La Cruz,18.105413475674528,118.67206228305146
Liberia,12.273799468151632,92.42018029601869
Limon,4.117329092319049,11.23217675358976
Matina,174.2250710672834,192.29027781099197
Montes de Oro,34.472560913068705,126.58358322428478
Nicoya,10.87866439380639,101.65236838954598
Orotina,3.1796874668739465,6.761278375190388
Osa,3.370605778448293,13.080618528252014
Parrita,13.333687058640294,46.366995008577945
Perez Zeledón,3.7628974163141287,20.33800840712122
Pococí,3.157250560149157,12.021224682919001
Puntarenas,3.978887496465288,23.9665094542866
Quepos,110.79924703366852,257.75087185327806
San Jose,0.06444585371078071,1.240930778187781
Santa Ana,2.0278164851193075,43.52643998819457
SantaCruz,19.771367871514038,91.58960015138462
Sarapiquí,1.1640471615008172,4.981951817886321
Siquirres,8.164075251413204,19.06463189228441
Talamanca,0.3339018509441809,0.7641512252938495
Turrialba,3.036648463644959,20.069384761658412
Upala,Inf,Inf
