Canton,MSE,IS_95
Alajuela,178.17345207223866,14.529687524359689
Alajuelita,70.4529759912543,23.223819481978133
Atenas,1051.0798511946111,24.773605148786938
Cañas,2302.9845086873875,24.324349068090978
Carrillo,998.3208321833326,15.959754373472567
Corredores,1154.1457058497565,25.18304745852913
Desamparados,53.59562121400381,18.63002428641964
Esparza,1078.1485827010858,17.47748595831834
Garabito,8776.623999807356,29.019055713422414
Golfito,849.1838576061085,23.556262329369215
Guacimo,434.50738427027557,13.812046992721195
La Cruz,1424.6440926754078,26.675468409968822
Liberia,839.6918981464717,23.16752726157222
Limon,675.7957124925096,17.125865585549292
Matina,1166.0531227301456,19.908598664389242
Montes de Oro,1350.214135074716,21.82600674017133
Nicoya,639.2249234973139,20.505886548433395
Orotina,3127.2715163762596,17.53764202516502
Osa,1351.92105841974,33.7053113728262
Parrita,283725861189.30865,24483.918072569926
Perez Zeledón,458.34740298355,30.035800754330612
Pococí,513.5483455820696,12.765823182226178
Puntarenas,360.28456783784964,12.841551119758973
Quepos,12958.237946842057,37.6498915639826
San Jose,47.99791311955703,12.681364418385717
Santa Ana,178.6807021716001,21.931110246964636
SantaCruz,8007.304952211087,37.33287547098448
Sarapiquí,1806.1718588094866,22.239206215436635
Siquirres,483.0002678643236,13.93708591680545
Talamanca,1121.5980020828638,21.175068887252237
Turrialba,590.6250670771202,25.238557583188925
Upala,290.55755995909254,21.715917500119314
